age,job,marital,education,housing,loan,contact,campaign,previous,poutcome,y
40,admin.,married,university.degree,yes,no,cellular,2,0,nonexistent,no
47,blue-collar,married,basic.9y,no,no,cellular,2,0,nonexistent,no
45,blue-collar,single,basic.9y,no,yes,cellular,2,1,failure,yes
45,services,married,basic.9y,no,no,telephone,1,0,nonexistent,no
60,admin.,married,professional.course,yes,no,cellular,1,1,failure,yes
35,blue-collar,married,basic.6y,no,no,telephone,4,0,nonexistent,no
48,admin.,divorced,university.degree,no,no,cellular,5,1,failure,no
47,services,married,high.school,yes,no,telephone,8,0,nonexistent,no
32,admin.,single,university.degree,yes,no,cellular,1,0,nonexistent,no
58,blue-collar,married,high.school,no,no,cellular,1,0,nonexistent,no
56,services,divorced,basic.4y,no,no,telephone,3,0,nonexistent,no
30,technician,divorced,university.degree,no,no,cellular,1,0,nonexistent,no
31,technician,single,professional.course,yes,no,cellular,1,0,nonexistent,no
54,services,divorced,high.school,no,no,telephone,5,0,nonexistent,no
39,blue-collar,married,basic.4y,yes,yes,cellular,5,0,nonexistent,no
49,admin.,single,university.degree,yes,no,telephone,1,0,nonexistent,no
35,blue-collar,married,unknown,yes,no,cellular,1,0,nonexistent,no
34,services,divorced,professional.course,yes,no,telephone,1,0,nonexistent,no
46,blue-collar,married,high.school,no,yes,cellular,1,0,nonexistent,no
57,blue-collar,married,unknown,no,no,telephone,2,0,nonexistent,yes
53,self-employed,married,university.degree,yes,no,cellular,2,0,nonexistent,no
51,blue-collar,married,basic.9y,yes,no,telephone,2,0,nonexistent,yes
33,admin.,married,high.school,no,no,telephone,1,0,nonexistent,no
37,entrepreneur,married,basic.9y,unknown,unknown,cellular,2,0,nonexistent,no
43,admin.,married,university.degree,no,yes,cellular,9,0,nonexistent,no
31,admin.,single,high.school,yes,no,cellular,3,0,nonexistent,no
52,technician,married,university.degree,no,no,cellular,7,0,nonexistent,no
36,technician,married,university.degree,yes,no,cellular,1,0,nonexistent,yes
53,blue-collar,married,basic.9y,no,yes,telephone,1,1,failure,no
32,blue-collar,single,basic.6y,no,no,cellular,4,0,nonexistent,no
32,admin.,single,university.degree,yes,no,telephone,1,0,nonexistent,no
54,blue-collar,married,basic.9y,no,no,cellular,2,0,nonexistent,yes
35,management,married,university.degree,no,yes,cellular,5,0,nonexistent,yes
43,admin.,single,university.degree,no,no,cellular,5,0,nonexistent,no
64,retired,married,basic.4y,unknown,unknown,telephone,3,0,nonexistent,yes
73,retired,married,basic.4y,no,no,cellular,1,0,nonexistent,yes
30,blue-collar,single,unknown,yes,no,telephone,2,0,nonexistent,no
78,retired,married,basic.4y,yes,no,cellular,1,0,nonexistent,yes
30,services,single,high.school,no,no,cellular,3,0,nonexistent,yes
30,technician,single,professional.course,no,yes,cellular,1,0,nonexistent,yes
56,admin.,married,university.degree,yes,no,cellular,2,2,success,yes
32,admin.,single,university.degree,yes,no,cellular,1,0,nonexistent,no
34,blue-collar,married,basic.9y,no,no,cellular,2,0,nonexistent,no
48,unemployed,married,basic.6y,no,no,cellular,1,0,nonexistent,yes
34,services,divorced,high.school,no,no,cellular,1,0,nonexistent,no
38,blue-collar,married,basic.4y,yes,no,telephone,6,0,nonexistent,no
27,technician,married,professional.course,no,no,cellular,6,1,failure,no
44,self-employed,divorced,high.school,yes,no,telephone,13,0,nonexistent,no
38,admin.,married,basic.6y,yes,no,cellular,3,0,nonexistent,no
63,technician,married,unknown,yes,no,cellular,1,1,failure,no
57,retired,married,basic.9y,yes,yes,cellular,4,0,nonexistent,yes
47,admin.,married,university.degree,yes,no,cellular,3,0,nonexistent,no
34,blue-collar,married,basic.9y,yes,no,telephone,2,0,nonexistent,no
31,admin.,single,university.degree,no,yes,cellular,2,0,nonexistent,no
31,technician,single,unknown,no,no,telephone,1,0,nonexistent,no
35,technician,married,high.school,yes,no,cellular,1,0,nonexistent,yes
24,blue-collar,single,basic.9y,yes,yes,cellular,1,0,nonexistent,no
31,entrepreneur,divorced,high.school,yes,no,telephone,3,0,nonexistent,no
44,technician,single,unknown,yes,no,telephone,1,0,nonexistent,no
54,blue-collar,married,unknown,yes,no,cellular,3,0,nonexistent,no
35,admin.,divorced,university.degree,yes,yes,cellular,1,0,nonexistent,yes
47,services,married,high.school,no,no,telephone,8,0,nonexistent,no
50,blue-collar,married,unknown,yes,no,cellular,2,0,nonexistent,no
35,admin.,divorced,high.school,no,yes,telephone,15,0,nonexistent,no
50,entrepreneur,married,basic.4y,yes,no,cellular,3,0,nonexistent,no
33,management,married,university.degree,yes,yes,cellular,8,0,nonexistent,no
32,technician,single,university.degree,no,no,telephone,16,0,nonexistent,no
41,blue-collar,married,basic.9y,no,no,telephone,1,0,nonexistent,no
35,management,single,high.school,yes,no,cellular,2,1,failure,no
60,retired,divorced,professional.course,no,no,cellular,5,0,nonexistent,yes
38,technician,married,basic.9y,no,no,cellular,1,0,nonexistent,no
53,management,divorced,university.degree,no,yes,cellular,2,1,success,yes
33,services,married,professional.course,yes,no,cellular,3,0,nonexistent,no
43,management,married,university.degree,no,yes,telephone,1,0,nonexistent,no
35,admin.,single,university.degree,no,no,cellular,2,0,nonexistent,no
42,blue-collar,divorced,basic.4y,no,no,telephone,1,0,nonexistent,no
39,blue-collar,married,basic.9y,yes,no,cellular,1,0,nonexistent,no
47,management,divorced,basic.4y,no,no,telephone,2,0,nonexistent,no
39,blue-collar,single,basic.4y,unknown,unknown,cellular,3,0,nonexistent,no
43,technician,married,professional.course,no,no,telephone,2,0,nonexistent,no
39,admin.,single,university.degree,yes,yes,cellular,8,0,nonexistent,no
65,retired,married,professional.course,yes,no,cellular,2,0,nonexistent,no
30,admin.,married,high.school,yes,no,telephone,1,0,nonexistent,no
45,admin.,divorced,university.degree,yes,no,cellular,3,0,nonexistent,no
50,admin.,divorced,basic.9y,yes,no,telephone,1,0,nonexistent,no
37,entrepreneur,married,university.degree,yes,no,cellular,1,0,nonexistent,no
38,admin.,married,university.degree,yes,no,telephone,3,0,nonexistent,no
58,blue-collar,divorced,unknown,yes,no,telephone,1,0,nonexistent,no
36,housemaid,married,university.degree,yes,no,cellular,1,0,nonexistent,no
57,management,divorced,university.degree,no,no,cellular,2,0,nonexistent,no
39,admin.,single,high.school,no,no,telephone,1,0,nonexistent,no
40,blue-collar,married,high.school,no,yes,telephone,1,0,nonexistent,no
40,technician,single,university.degree,no,no,cellular,3,0,nonexistent,no
30,admin.,single,basic.9y,yes,no,telephone,1,0,nonexistent,no
57,retired,married,basic.4y,no,yes,cellular,5,0,nonexistent,no
37,services,single,high.school,yes,no,cellular,1,1,failure,yes
30,admin.,divorced,high.school,no,no,cellular,2,1,failure,no
30,self-employed,single,university.degree,no,no,cellular,1,0,nonexistent,yes
59,retired,divorced,unknown,no,no,cellular,2,0,nonexistent,no
38,blue-collar,married,basic.4y,yes,no,telephone,2,0,nonexistent,no
32,admin.,single,university.degree,yes,no,cellular,2,3,success,yes
28,admin.,married,high.school,no,no,telephone,3,0,nonexistent,no
36,technician,married,university.degree,no,no,telephone,1,0,nonexistent,no
38,housemaid,divorced,university.degree,no,no,cellular,2,0,nonexistent,yes
51,technician,married,professional.course,no,yes,cellular,1,0,nonexistent,yes
57,services,married,high.school,yes,no,cellular,1,0,nonexistent,no
31,admin.,married,high.school,unknown,unknown,cellular,6,0,nonexistent,no
34,technician,married,professional.course,no,no,telephone,2,0,nonexistent,no
44,blue-collar,single,basic.4y,yes,no,cellular,2,0,nonexistent,yes
33,self-employed,married,university.degree,yes,no,cellular,2,0,nonexistent,no
